Year,Indicators,Country,Subregion,Statistics
2014,"Employers, male (% of male employment) (modeled ILO estimate)",Austria,Western Europe,6.71999979019165
2014,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Austria,Western Europe,70.89
2014,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Austria,Western Europe,79.93
2014,"School enrollment, tertiary (% gross)",Austria,Western Europe,79.1586990356445
2014,"Self-employed, female (% of female employment) (modeled ILO estimate)",Austria,Western Europe,10.5100002288818
2014,"Self-employed, male (% of male employment) (modeled ILO estimate)",Austria,Western Europe,15.7299995422363
2014,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Austria,Western Europe,82.54160363086234
2014,"Unemployment with advanced education, female (% of female labor force with advanced education)",Austria,Western Europe,4.17000007629395
2014,"Unemployment with advanced education, male (% of male labor force with advanced education)",Austria,Western Europe,3.75
2014,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Austria,Western Europe,5.62
2014,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Austria,Western Europe,5.38
2014,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Austria,Western Europe,5.83
2015,"Employers, female (% of female employment) (modeled ILO estimate)",Austria,Western Europe,2.46000003814697
2015,"Employers, male (% of male employment) (modeled ILO estimate)",Austria,Western Europe,6.32000017166138
2015,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Austria,Western Europe,70.95
2015,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Austria,Western Europe,80.03
2015,"School enrollment, tertiary (% gross)",Austria,Western Europe,80.7194213867188
2015,"Self-employed, female (% of female employment) (modeled ILO estimate)",Austria,Western Europe,10.3800001144409
2015,"Self-employed, male (% of male employment) (modeled ILO estimate)",Austria,Western Europe,15.3100004196167
2015,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Austria,Western Europe,82.64888619487802
2015,"Unemployment with advanced education, female (% of female labor force with advanced education)",Austria,Western Europe,3.73000001907349
2015,"Unemployment with advanced education, male (% of male labor force with advanced education)",Austria,Western Europe,4.0
2015,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Austria,Western Europe,5.72
2015,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Austria,Western Europe,5.31
2015,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Austria,Western Europe,6.09
2016,"Employers, female (% of female employment) (modeled ILO estimate)",Austria,Western Europe,2.52999997138977
2016,"Employers, male (% of male employment) (modeled ILO estimate)",Austria,Western Europe,6.32999992370605
2016,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Austria,Western Europe,71.68
2016,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Austria,Western Europe,80.65
2016,"School enrollment, tertiary (% gross)",Austria,Western Europe,83.454948425293
2016,"Self-employed, female (% of female employment) (modeled ILO estimate)",Austria,Western Europe,10.039999961853
2016,"Self-employed, male (% of male employment) (modeled ILO estimate)",Austria,Western Europe,15.0900001525879
2016,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Austria,Western Europe,82.9588297391042
2016,"Unemployment with advanced education, female (% of female labor force with advanced education)",Austria,Western Europe,3.36999988555908
2016,"Unemployment with advanced education, male (% of male labor force with advanced education)",Austria,Western Europe,3.76999998092651
2016,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Austria,Western Europe,6.01
2016,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Austria,Western Europe,5.54
2016,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Austria,Western Europe,6.43
2017,"Employers, female (% of female employment) (modeled ILO estimate)",Austria,Western Europe,2.64000010490417
2017,"Employers, male (% of male employment) (modeled ILO estimate)",Austria,Western Europe,6.42000007629395
2017,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Austria,Western Europe,71.77
2017,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Austria,Western Europe,80.83
2017,"School enrollment, tertiary (% gross)",Austria,Western Europe,85.0571365356445
2017,"Self-employed, female (% of female employment) (modeled ILO estimate)",Austria,Western Europe,9.84000015258789
2017,"Self-employed, male (% of male employment) (modeled ILO estimate)",Austria,Western Europe,14.6099996566772
2017,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Austria,Western Europe,82.91873963515755
2017,"Unemployment with advanced education, female (% of female labor force with advanced education)",Austria,Western Europe,3.23000001907349
2017,"Unemployment with advanced education, male (% of male labor force with advanced education)",Austria,Western Europe,3.0699999332428
2017,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Austria,Western Europe,5.5
2017,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Austria,Western Europe,5.03
2017,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Austria,Western Europe,5.91
2018,"Employers, female (% of female employment) (modeled ILO estimate)",Austria,Western Europe,2.5
2018,"Employers, male (% of male employment) (modeled ILO estimate)",Austria,Western Europe,6.3600001335144
2018,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Austria,Western Europe,71.86
2018,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Austria,Western Europe,81.34
2018,"School enrollment, tertiary (% gross)",Austria,Western Europe,86.688346862793
2018,"Self-employed, female (% of female employment) (modeled ILO estimate)",Austria,Western Europe,9.42000007629395
2018,"Self-employed, male (% of male employment) (modeled ILO estimate)",Austria,Western Europe,14.2600002288818
2018,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Austria,Western Europe,82.53373313343327
2018,"Unemployment with advanced education, female (% of female labor force with advanced education)",Austria,Western Europe,3.33999991416931
2018,"Unemployment with advanced education, male (% of male labor force with advanced education)",Austria,Western Europe,3.10999989509583
2018,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Austria,Western Europe,4.85
2018,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Austria,Western Europe,4.65
2018,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Austria,Western Europe,5.02
2019,"Employers, female (% of female employment) (modeled ILO estimate)",Austria,Western Europe,2.53999996185303
2019,"Employers, male (% of male employment) (modeled ILO estimate)",Austria,Western Europe,6.76000022888184
2019,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Austria,Western Europe,72.18
2019,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Austria,Western Europe,81.47
2019,"School enrollment, tertiary (% gross)",Austria,Western Europe,86.4755325317383
2019,"Self-employed, female (% of female employment) (modeled ILO estimate)",Austria,Western Europe,9.47000026702881
2019,"Self-employed, male (% of male employment) (modeled ILO estimate)",Austria,Western Europe,14.5
2019,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Austria,Western Europe,82.76069017254312
2019,"Unemployment with advanced education, female (% of female labor force with advanced education)",Austria,Western Europe,3.36999988555908
2019,"Unemployment with advanced education, male (% of male labor force with advanced education)",Austria,Western Europe,2.65000009536743
2019,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Austria,Western Europe,4.49
2019,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Austria,Western Europe,4.35
2019,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Austria,Western Europe,4.61
2012,Gender pay gap in unadjusted form,Austria,Western Europe,22.9
2013,Gender pay gap in unadjusted form,Austria,Western Europe,22.3
2014,Gender pay gap in unadjusted form,Austria,Western Europe,22.2
2015,Gender pay gap in unadjusted form,Austria,Western Europe,21.8
2016,Gender pay gap in unadjusted form,Austria,Western Europe,20.8
2017,Gender pay gap in unadjusted form,Austria,Western Europe,20.7
2018,Gender pay gap in unadjusted form,Austria,Western Europe,20.4
2019,Gender pay gap in unadjusted form,Austria,Western Europe,19.9
2012,Gender employment gap,Austria,Western Europe,9.7
2013,Gender employment gap,Austria,Western Europe,9.1
2014,Gender employment gap,Austria,Western Europe,8.2
2015,Gender employment gap,Austria,Western Europe,8.2
2016,Gender employment gap,Austria,Western Europe,7.8
2017,Gender employment gap,Austria,Western Europe,8.0
2018,Gender employment gap,Austria,Western Europe,9.0
2019,Gender employment gap,Austria,Western Europe,8.8
2012,"Employers, female (% of female employment) (modeled ILO estimate)",Belgium,Western Europe,2.0699999332428
2012,"Employers, male (% of male employment) (modeled ILO estimate)",Belgium,Western Europe,5.76999998092651
2012,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Belgium,Western Europe,61.11
2012,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Belgium,Western Europe,72.4
2012,"School enrollment, tertiary (% gross)",Belgium,Western Europe,71.1920166015625
2012,"Self-employed, female (% of female employment) (modeled ILO estimate)",Belgium,Western Europe,10.4799995422363
2012,"Self-employed, male (% of male employment) (modeled ILO estimate)",Belgium,Western Europe,17.5499992370605
2012,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Belgium,Western Europe,78.516409912927
2012,"Unemployment with advanced education, female (% of female labor force with advanced education)",Belgium,Western Europe,3.92000007629395
2012,"Unemployment with advanced education, male (% of male labor force with advanced education)",Belgium,Western Europe,3.96000003814697
2012,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Belgium,Western Europe,7.54
2012,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Belgium,Western Europe,7.41
2012,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Belgium,Western Europe,7.65
2013,"Employers, female (% of female employment) (modeled ILO estimate)",Belgium,Western Europe,2.26999998092651
2013,"Employers, male (% of male employment) (modeled ILO estimate)",Belgium,Western Europe,6.01000022888184
2013,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Belgium,Western Europe,62.11
2013,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Belgium,Western Europe,72.7
2013,"School enrollment, tertiary (% gross)",Belgium,Western Europe,72.1154937744141
2013,"Self-employed, female (% of female employment) (modeled ILO estimate)",Belgium,Western Europe,10.6999998092651
2013,"Self-employed, male (% of male employment) (modeled ILO estimate)",Belgium,Western Europe,18.7800006866455
2013,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Belgium,Western Europe,79.70189248032156
2013,"Unemployment with advanced education, female (% of female labor force with advanced education)",Belgium,Western Europe,5.17000007629395
2013,"Unemployment with advanced education, male (% of male labor force with advanced education)",Belgium,Western Europe,4.61999988555908
2013,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Belgium,Western Europe,8.43
2013,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Belgium,Western Europe,8.17
2013,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Belgium,Western Europe,8.64
2014,"Employers, female (% of female employment) (modeled ILO estimate)",Belgium,Western Europe,2.35999989509583
2014,"Employers, male (% of male employment) (modeled ILO estimate)",Belgium,Western Europe,5.6100001335144
2014,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Belgium,Western Europe,62.89
2014,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Belgium,Western Europe,72.49
2014,"School enrollment, tertiary (% gross)",Belgium,Western Europe,72.9973983764648
2014,"Self-employed, female (% of female employment) (modeled ILO estimate)",Belgium,Western Europe,10.8500003814697
2014,"Self-employed, male (% of male employment) (modeled ILO estimate)",Belgium,Western Europe,17.8500003814697
2014,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Belgium,Western Europe,80.85213876726169
2014,"Unemployment with advanced education, female (% of female labor force with advanced education)",Belgium,Western Europe,4.71999979019165
2014,"Unemployment with advanced education, male (% of male labor force with advanced education)",Belgium,Western Europe,4.61999988555908
2014,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Belgium,Western Europe,8.52
2014,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Belgium,Western Europe,7.94
2014,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Belgium,Western Europe,9.02
2015,"Employers, female (% of female employment) (modeled ILO estimate)",Belgium,Western Europe,2.38000011444092
2015,"Employers, male (% of male employment) (modeled ILO estimate)",Belgium,Western Europe,5.96000003814697
2015,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Belgium,Western Europe,63.0
2015,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Belgium,Western Europe,72.29
2015,"School enrollment, tertiary (% gross)",Belgium,Western Europe,74.5597610473633
2015,"Self-employed, female (% of female employment) (modeled ILO estimate)",Belgium,Western Europe,11.0699996948242
2015,"Self-employed, male (% of male employment) (modeled ILO estimate)",Belgium,Western Europe,18.7399997711182
2015,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Belgium,Western Europe,81.19715928305715
2015,"Unemployment with advanced education, female (% of female labor force with advanced education)",Belgium,Western Europe,4.30000019073486
2015,"Unemployment with advanced education, male (% of male labor force with advanced education)",Belgium,Western Europe,4.92000007629395
2015,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Belgium,Western Europe,8.48
2015,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Belgium,Western Europe,7.77
2015,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Belgium,Western Europe,9.09
2016,"Employers, female (% of female employment) (modeled ILO estimate)",Belgium,Western Europe,2.33999991416931
2016,"Employers, male (% of male employment) (modeled ILO estimate)",Belgium,Western Europe,5.71000003814697
2016,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Belgium,Western Europe,62.92
2016,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Belgium,Western Europe,72.47
2016,"School enrollment, tertiary (% gross)",Belgium,Western Europe,75.8906402587891
2016,"Self-employed, female (% of female employment) (modeled ILO estimate)",Belgium,Western Europe,10.6199998855591
2016,"Self-employed, male (% of male employment) (modeled ILO estimate)",Belgium,Western Europe,18.4300003051758
2016,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Belgium,Western Europe,81.02103120759837
2016,"Unemployment with advanced education, female (% of female labor force with advanced education)",Belgium,Western Europe,4.3899998664856
2016,"Unemployment with advanced education, male (% of male labor force with advanced education)",Belgium,Western Europe,3.99000000953674
2016,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Belgium,Western Europe,7.83
2016,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Belgium,Western Europe,7.56
2016,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Belgium,Western Europe,8.06
2017,"Employers, female (% of female employment) (modeled ILO estimate)",Belgium,Western Europe,2.49000000953674
2017,"Employers, male (% of male employment) (modeled ILO estimate)",Belgium,Western Europe,5.44000005722046
2017,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Belgium,Western Europe,63.19
2017,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Belgium,Western Europe,72.83
2017,"School enrollment, tertiary (% gross)",Belgium,Western Europe,79.6617279052734
2017,"Self-employed, female (% of female employment) (modeled ILO estimate)",Belgium,Western Europe,10.6499996185303
2017,"Self-employed, male (% of male employment) (modeled ILO estimate)",Belgium,Western Europe,17.3799991607666
2017,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Belgium,Western Europe,81.01844019624428
2017,"Unemployment with advanced education, female (% of female labor force with advanced education)",Belgium,Western Europe,4.67999982833862
2017,"Unemployment with advanced education, male (% of male labor force with advanced education)",Belgium,Western Europe,3.83999991416931
2017,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Belgium,Western Europe,7.09
2017,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Belgium,Western Europe,7.05
2017,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Belgium,Western Europe,7.11
2018,"Employers, female (% of female employment) (modeled ILO estimate)",Belgium,Western Europe,2.23000001907349
2018,"Employers, male (% of male employment) (modeled ILO estimate)",Belgium,Western Europe,5.1399998664856
2018,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Belgium,Western Europe,64.3
2018,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Belgium,Western Europe,72.86
2018,"School enrollment, tertiary (% gross)",Belgium,Western Europe,78.9011688232422
2018,"Self-employed, female (% of female employment) (modeled ILO estimate)",Belgium,Western Europe,10.710000038147
2018,"Self-employed, male (% of male employment) (modeled ILO estimate)",Belgium,Western Europe,16.8999996185303
2018,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Belgium,Western Europe,82.54452926208651
2018,"Unemployment with advanced education, female (% of female labor force with advanced education)",Belgium,Western Europe,3.32999992370605
2018,"Unemployment with advanced education, male (% of male labor force with advanced education)",Belgium,Western Europe,3.58999991416931
2018,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Belgium,Western Europe,5.95
2018,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Belgium,Western Europe,5.56
2018,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Belgium,Western Europe,6.28
2019,"Employers, female (% of female employment) (modeled ILO estimate)",Belgium,Western Europe,2.0699999332428
2019,"Employers, male (% of male employment) (modeled ILO estimate)",Belgium,Western Europe,4.98999977111816
2019,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Belgium,Western Europe,64.88
2019,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Belgium,Western Europe,73.13
2019,"School enrollment, tertiary (% gross)",Belgium,Western Europe,80.1381683349609
2019,"Self-employed, female (% of female employment) (modeled ILO estimate)",Belgium,Western Europe,10.6999998092651
2019,"Self-employed, male (% of male employment) (modeled ILO estimate)",Belgium,Western Europe,17.2999992370605
2019,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Belgium,Western Europe,82.89585097375107
2019,"Unemployment with advanced education, female (% of female labor force with advanced education)",Belgium,Western Europe,3.04999995231628
2019,"Unemployment with advanced education, male (% of male labor force with advanced education)",Belgium,Western Europe,3.26999998092651
2019,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Belgium,Western Europe,5.36
2019,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Belgium,Western Europe,4.93
2019,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Belgium,Western Europe,5.73
2012,Gender pay gap in unadjusted form,Belgium,Western Europe,8.3
2013,Gender pay gap in unadjusted form,Belgium,Western Europe,7.5
2014,Gender pay gap in unadjusted form,Belgium,Western Europe,6.6
2015,Gender pay gap in unadjusted form,Belgium,Western Europe,6.4
2016,Gender pay gap in unadjusted form,Belgium,Western Europe,6.0
2017,Gender pay gap in unadjusted form,Belgium,Western Europe,5.8
2018,Gender pay gap in unadjusted form,Belgium,Western Europe,5.8
2019,Gender pay gap in unadjusted form,Belgium,Western Europe,5.8
2012,Gender employment gap,Belgium,Western Europe,11.0
2013,Gender employment gap,Belgium,Western Europe,10.2
2014,Gender employment gap,Belgium,Western Europe,8.7
2015,Gender employment gap,Belgium,Western Europe,8.3
2016,Gender employment gap,Belgium,Western Europe,9.3
2017,Gender employment gap,Belgium,Western Europe,9.8
2018,Gender employment gap,Belgium,Western Europe,8.4
2019,Gender employment gap,Belgium,Western Europe,8.0
2012,"Employers, female (% of female employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,2.20000004768372
2012,"Employers, male (% of male employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,4.78999996185303
2012,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Bulgaria,Eastern Europe,63.14
2012,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Bulgaria,Eastern Europe,70.94
2012,"School enrollment, tertiary (% gross)",Bulgaria,Eastern Europe,61.3599815368652
2012,"Self-employed, female (% of female employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,8.8100004196167
2012,"Self-employed, male (% of male employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,14.0900001525879
2012,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Bulgaria,Eastern Europe,81.48211243611584
2012,"Unemployment with advanced education, female (% of female labor force with advanced education)",Bulgaria,Eastern Europe,5.53999996185303
2012,"Unemployment with advanced education, male (% of male labor force with advanced education)",Bulgaria,Eastern Europe,6.25
2012,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Bulgaria,Eastern Europe,12.27
2012,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Bulgaria,Eastern Europe,10.84
2012,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Bulgaria,Eastern Europe,13.52
2013,"Employers, female (% of female employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,2.26999998092651
2013,"Employers, male (% of male employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,5.40000009536743
2013,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Bulgaria,Eastern Europe,64.49
2013,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Bulgaria,Eastern Europe,72.2
2013,"School enrollment, tertiary (% gross)",Bulgaria,Eastern Europe,64.1919784545898
2013,"Self-employed, female (% of female employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,9.06999969482422
2013,"Self-employed, male (% of male employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,14.8900003433228
2013,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Bulgaria,Eastern Europe,81.45350788855322
2013,"Unemployment with advanced education, female (% of female labor force with advanced education)",Bulgaria,Eastern Europe,6.38000011444092
2013,"Unemployment with advanced education, male (% of male labor force with advanced education)",Bulgaria,Eastern Europe,6.48999977111816
2013,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Bulgaria,Eastern Europe,12.94
2013,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Bulgaria,Eastern Europe,11.84
2013,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Bulgaria,Eastern Europe,13.9
2014,"Employers, female (% of female employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,2.21000003814697
2014,"Employers, male (% of male employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,5.23000001907349
2014,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Bulgaria,Eastern Europe,65.02
2014,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Bulgaria,Eastern Europe,72.96
2014,"School enrollment, tertiary (% gross)",Bulgaria,Eastern Europe,67.5635604858398
2014,"Self-employed, female (% of female employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,9.32999992370605
2014,"Self-employed, male (% of male employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,15.289999961853
2014,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Bulgaria,Eastern Europe,80.94207723035953
2014,"Unemployment with advanced education, female (% of female labor force with advanced education)",Bulgaria,Eastern Europe,4.82000017166138
2014,"Unemployment with advanced education, male (% of male labor force with advanced education)",Bulgaria,Eastern Europe,5.48999977111816
2014,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Bulgaria,Eastern Europe,11.42
2014,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Bulgaria,Eastern Europe,10.4
2014,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Bulgaria,Eastern Europe,12.31
2015,"Employers, female (% of female employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,1.96000003814697
2015,"Employers, male (% of male employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,5.0
2015,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Bulgaria,Eastern Europe,65.45
2015,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Bulgaria,Eastern Europe,73.27
2015,"School enrollment, tertiary (% gross)",Bulgaria,Eastern Europe,70.3015365600586
2015,"Self-employed, female (% of female employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,8.81999969482422
2015,"Self-employed, male (% of male employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,14.8699998855591
2015,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Bulgaria,Eastern Europe,80.87795144662454
2015,"Unemployment with advanced education, female (% of female labor force with advanced education)",Bulgaria,Eastern Europe,3.89000010490417
2015,"Unemployment with advanced education, male (% of male labor force with advanced education)",Bulgaria,Eastern Europe,4.03999996185303
2015,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Bulgaria,Eastern Europe,9.14
2015,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Bulgaria,Eastern Europe,8.42
2015,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Bulgaria,Eastern Europe,9.78
2016,"Employers, female (% of female employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,2.10999989509583
2016,"Employers, male (% of male employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,4.80999994277954
2016,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Bulgaria,Eastern Europe,64.67
2016,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Bulgaria,Eastern Europe,72.85
2016,"School enrollment, tertiary (% gross)",Bulgaria,Eastern Europe,71.2457427978516
2016,"Self-employed, female (% of female employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,8.93000030517578
2016,"Self-employed, male (% of male employment) (modeled ILO estimate)",Bulgaria,Eastern Europe,14.1800003051758
2016,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Bulgaria,Eastern Europe,80.1443437395099
2016,"Unemployment with advanced education, female (% of female labor force with advanced education)",Bulgaria,Eastern Europe,3.26999998092651
